ocel:activity,ocel:timestamp,ocel:type:MAT,ocel:type:PLA,ocel:type:PO_ITEM,ocel:type:SO_ITEM,ocel:type:CUSTOMER,ocel:type:SUPPLIER,Stock Before,Stock After,ocel:type:MAT_PLA,ocel:eid,Annual Demand (D_m),Average Daily Demand (d_m),Std Dev of Daily Demand (σ_m),Average Lead Time (l_m),EOQ,Safety Stock (SS),Reorder Point (ROP),OS,CUMCOUNT,INVCUMCOUNT,Current Status,Status Change Happened,Status Change Happened2,Status Change Happened3,Status Change Happened4
Create Purchase Suggestion Item (Understock),2024-05-11 01:50:20,['MAT-54'],['Plant5'],,,,,0.0,0.0,['MAT-54_Plant5'],e716,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,3,Understock,,,,
Create Purchase Order Item (Understock),2024-06-06 01:50:30,['MAT-54'],['Plant5'],['PO_ITEM--18-4'],,,['SUPPLIER--29'],0.0,0.0,['MAT-54_Plant5'],e717,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,2,Understock,,,,
Create Sales Order Item (Understock),2024-06-14 01:50:40,['MAT-54'],['Plant5'],,['SO_ITEM--181-3'],['CUSTOMER--37'],,0.0,0.0,['MAT-54_Plant5'],e718,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,1,Understock,,,,
ST CHANGE Understock to Overstock,2024-09-04 01:51:09,['MAT-54'],['Plant5'],,['SO_ITEM--62-2'],['CUSTOMER--49'],,28.0,28.0,['MAT-54_Plant5'],e721_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Sales Order Item (Overstock),2024-09-04 01:51:10,['MAT-54'],['Plant5'],,['SO_ITEM--62-2'],['CUSTOMER--49'],,28.0,28.0,['MAT-54_Plant5'],e721,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
END OVERSTOCK,2024-09-04 01:51:11,['MAT-54'],['Plant5'],,['SO_ITEM--62-2'],['CUSTOMER--49'],,28.0,28.0,['MAT-54_Plant5'],e721_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
START UNDERSTOCK,2023-10-05 01:51:19,['MAT-55'],['Plant1'],,['SO_ITEM--16-1'],['CUSTOMER--43'],,0.0,0.0,['MAT-55_Plant1'],e723_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,3,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2023-10-05 01:51:20,['MAT-55'],['Plant1'],,['SO_ITEM--16-1'],['CUSTOMER--43'],,0.0,0.0,['MAT-55_Plant1'],e723,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,3,Understock,START UNDERSTOCK,,,
ST CHANGE Understock to Overstock,2024-01-08 01:52:19,['MAT-55'],['Plant1'],['PO_ITEM--84-3'],,,['SUPPLIER--13'],96.0,96.0,['MAT-55_Plant1'],e729_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,2,Overstock,,,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Purchase Order Item (Overstock),2024-01-08 01:52:20,['MAT-55'],['Plant1'],['PO_ITEM--84-3'],,,['SUPPLIER--13'],96.0,96.0,['MAT-55_Plant1'],e729,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,2,Overstock,,,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Sales Order Item (Overstock),2024-09-17 01:53:20,['MAT-55'],['Plant1'],,['SO_ITEM--103-3'],['CUSTOMER--4'],,87.0,87.0,['MAT-55_Plant1'],e735,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,1,Overstock,,,,
Goods Receipt (Overstock),2024-09-25 01:53:30,['MAT-55'],['Plant1'],['PO_ITEM--72-4'],,,['SUPPLIER--4'],87.0,182.0,['MAT-55_Plant1'],e736,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Overstock,,END OVERSTOCK,,
END OVERSTOCK,2024-09-25 01:53:31,['MAT-55'],['Plant1'],['PO_ITEM--72-4'],,,['SUPPLIER--4'],87.0,182.0,['MAT-55_Plant1'],e736_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Overstock,,END OVERSTOCK,,
START UNDERSTOCK,2023-10-10 01:51:29,['MAT-55'],['Plant2'],,,,,0.0,0.0,['MAT-55_Plant2'],e724_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,3,Understock,START UNDERSTOCK,,,
Create Purchase Suggestion Item (Understock),2023-10-10 01:51:30,['MAT-55'],['Plant2'],,,,,0.0,0.0,['MAT-55_Plant2'],e724,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,3,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2023-12-19 01:52:00,['MAT-55'],['Plant2'],['PO_ITEM--108-3'],,,['SUPPLIER--29'],0.0,0.0,['MAT-55_Plant2'],e727,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,2,Understock,,,,
ST CHANGE UNDERSTOCK to OVERSTOCK,2023-12-27 01:52:09,['MAT-55'],['Plant2'],['PO_ITEM--100-1'],,,['SUPPLIER--15'],0.0,96.0,['MAT-55_Plant2'],e728_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,1,Overstock,ST CHANGE UNDERSTOCK to OVERSTOCK,,ST CHANGE Understock to Overstock,
Goods Receipt (Overstock),2023-12-27 01:52:10,['MAT-55'],['Plant2'],['PO_ITEM--100-1'],,,['SUPPLIER--15'],0.0,96.0,['MAT-55_Plant2'],e728,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,1,Overstock,ST CHANGE UNDERSTOCK to OVERSTOCK,,ST CHANGE Understock to Overstock,
Create Sales Order Item (Overstock),2024-09-04 01:53:00,['MAT-55'],['Plant2'],,['SO_ITEM--62-1'],['CUSTOMER--49'],,96.0,96.0,['MAT-55_Plant2'],e733,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Overstock,,END OVERSTOCK,,
END OVERSTOCK,2024-09-04 01:53:01,['MAT-55'],['Plant2'],,['SO_ITEM--62-1'],['CUSTOMER--49'],,96.0,96.0,['MAT-55_Plant2'],e733_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Overstock,,END OVERSTOCK,,
START OVERSTOCK,2024-08-10 01:52:49,['MAT-55'],['Plant3'],,['SO_ITEM--1-1'],['CUSTOMER--10'],,96.0,96.0,['MAT-55_Plant3'],e732_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
Create Sales Order Item (Overstock),2024-08-10 01:52:50,['MAT-55'],['Plant3'],,['SO_ITEM--1-1'],['CUSTOMER--10'],,96.0,96.0,['MAT-55_Plant3'],e732,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
END OVERSTOCK,2024-08-10 01:52:51,['MAT-55'],['Plant3'],,['SO_ITEM--1-1'],['CUSTOMER--10'],,96.0,96.0,['MAT-55_Plant3'],e732_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
START UNDERSTOCK,2023-12-03 01:51:49,['MAT-55'],['Plant4'],,['SO_ITEM--104-1'],['CUSTOMER--11'],,0.0,0.0,['MAT-55_Plant4'],e726_STARTSC,9.0,9.0,0.9,7.0,13.42,3.92,66.92,17.34,0,2,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2023-12-03 01:51:50,['MAT-55'],['Plant4'],,['SO_ITEM--104-1'],['CUSTOMER--11'],,0.0,0.0,['MAT-55_Plant4'],e726,9.0,9.0,0.9,7.0,13.42,3.92,66.92,17.34,0,2,Understock,START UNDERSTOCK,,,
ST CHANGE Understock to Overstock,2024-05-19 01:52:29,['MAT-55'],['Plant4'],,['SO_ITEM--176-1'],['CUSTOMER--42'],,96.0,96.0,['MAT-55_Plant4'],e730_ARTSC,9.0,9.0,0.9,7.0,13.42,3.92,66.92,17.34,1,1,Overstock,,,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Sales Order Item (Overstock),2024-05-19 01:52:30,['MAT-55'],['Plant4'],,['SO_ITEM--176-1'],['CUSTOMER--42'],,96.0,96.0,['MAT-55_Plant4'],e730,9.0,9.0,0.9,7.0,13.42,3.92,66.92,17.34,1,1,Overstock,,,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Goods Issue (Overstock),2024-09-08 01:53:10,['MAT-55'],['Plant4'],,,['CUSTOMER--740339'],,96.0,87.0,['MAT-55_Plant4'],e734,9.0,9.0,0.9,7.0,13.42,3.92,66.92,17.34,2,0,Overstock,,END OVERSTOCK,,
END OVERSTOCK,2024-09-08 01:53:11,['MAT-55'],['Plant4'],,,['CUSTOMER--740339'],,96.0,87.0,['MAT-55_Plant4'],e734_END,9.0,9.0,0.9,7.0,13.42,3.92,66.92,17.34,2,0,Overstock,,END OVERSTOCK,,
START UNDERSTOCK,2023-11-08 01:51:39,['MAT-55'],['Plant5'],,['SO_ITEM--105-2'],['CUSTOMER--21'],,0.0,0.0,['MAT-55_Plant5'],e725_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2023-11-08 01:51:40,['MAT-55'],['Plant5'],,['SO_ITEM--105-2'],['CUSTOMER--21'],,0.0,0.0,['MAT-55_Plant5'],e725,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
ST CHANGE Understock to Overstock,2024-06-24 01:52:39,['MAT-55'],['Plant5'],,['SO_ITEM--170-1'],['CUSTOMER--20'],,96.0,96.0,['MAT-55_Plant5'],e731_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Sales Order Item (Overstock),2024-06-24 01:52:40,['MAT-55'],['Plant5'],,['SO_ITEM--170-1'],['CUSTOMER--20'],,96.0,96.0,['MAT-55_Plant5'],e731,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
END OVERSTOCK,2024-06-24 01:52:41,['MAT-55'],['Plant5'],,['SO_ITEM--170-1'],['CUSTOMER--20'],,96.0,96.0,['MAT-55_Plant5'],e731_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
START UNDERSTOCK,2024-03-17 01:53:49,['MAT-56'],['Plant1'],['PO_ITEM--11-3'],,,['SUPPLIER--24'],0.0,0.0,['MAT-56_Plant1'],e739_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2024-03-17 01:53:50,['MAT-56'],['Plant1'],['PO_ITEM--11-3'],,,['SUPPLIER--24'],0.0,0.0,['MAT-56_Plant1'],e739,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-03-26 01:54:00,['MAT-56'],['Plant1'],,['SO_ITEM--7-1'],['CUSTOMER--33'],,0.0,0.0,['MAT-56_Plant1'],e740,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,1,Understock,,,,
Create Sales Order Item (Understock),2024-06-29 01:54:40,['MAT-56'],['Plant1'],,['SO_ITEM--99-2'],['CUSTOMER--23'],,0.0,0.0,['MAT-56_Plant1'],e744,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2024-06-29 01:54:41,['MAT-56'],['Plant1'],,['SO_ITEM--99-2'],['CUSTOMER--23'],,0.0,0.0,['MAT-56_Plant1'],e744_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2024-01-28 01:53:39,['MAT-56'],['Plant2'],,['SO_ITEM--9-3'],['CUSTOMER--47'],,0.0,0.0,['MAT-56_Plant2'],e738_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
Create Sales Order Item (Understock),2024-01-28 01:53:40,['MAT-56'],['Plant2'],,['SO_ITEM--9-3'],['CUSTOMER--47'],,0.0,0.0,['MAT-56_Plant2'],e738,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
END UNDERSTOCK,2024-01-28 01:53:41,['MAT-56'],['Plant2'],,['SO_ITEM--9-3'],['CUSTOMER--47'],,0.0,0.0,['MAT-56_Plant2'],e738_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
START OVERSTOCK,2024-05-02 01:54:19,['MAT-56'],['Plant3'],,['SO_ITEM--67-5'],['CUSTOMER--22'],,122.0,122.0,['MAT-56_Plant3'],e742_STARTSC,41.0,41.0,4.1000000000000005,7.0,28.64,17.84,304.84,46.480000000000004,0,1,Overstock,START OVERSTOCK,,,
Create Sales Order Item (Overstock),2024-05-02 01:54:20,['MAT-56'],['Plant3'],,['SO_ITEM--67-5'],['CUSTOMER--22'],,122.0,122.0,['MAT-56_Plant3'],e742,41.0,41.0,4.1000000000000005,7.0,28.64,17.84,304.84,46.480000000000004,0,1,Overstock,START OVERSTOCK,,,
ST CHANGE NORMAL to UNDERSTOCK,2024-08-19 01:55:19,['MAT-56'],['Plant3'],,,['CUSTOMER--158849'],,41.0,0.0,['MAT-56_Plant3'],e748_STARTSC,41.0,41.0,4.1000000000000005,7.0,28.64,17.84,304.84,46.480000000000004,1,0,Understock,ST CHANGE NORMAL to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
Goods Issue (Understock),2024-08-19 01:55:20,['MAT-56'],['Plant3'],,,['CUSTOMER--158849'],,41.0,0.0,['MAT-56_Plant3'],e748,41.0,41.0,4.1000000000000005,7.0,28.64,17.84,304.84,46.480000000000004,1,0,Understock,ST CHANGE NORMAL to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
END UNDERSTOCK,2024-08-19 01:55:21,['MAT-56'],['Plant3'],,,['CUSTOMER--158849'],,41.0,0.0,['MAT-56_Plant3'],e748_END,41.0,41.0,4.1000000000000005,7.0,28.64,17.84,304.84,46.480000000000004,1,0,Understock,ST CHANGE NORMAL to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
START OVERSTOCK,2024-04-24 01:54:09,['MAT-56'],['Plant4'],,,,,202.0,202.0,['MAT-56_Plant4'],e741_STARTSC,80.0,80.0,8.0,7.0,40.0,34.82,594.82,74.82,0,2,Overstock,START OVERSTOCK,,,
Create Purchase Suggestion Item (Overstock),2024-04-24 01:54:10,['MAT-56'],['Plant4'],,,,,202.0,202.0,['MAT-56_Plant4'],e741,80.0,80.0,8.0,7.0,40.0,34.82,594.82,74.82,0,2,Overstock,START OVERSTOCK,,,
Create Sales Order Item (Overstock),2024-07-17 01:55:00,['MAT-56'],['Plant4'],,['SO_ITEM--182-1'],['CUSTOMER--44'],,202.0,202.0,['MAT-56_Plant4'],e746,80.0,80.0,8.0,7.0,40.0,34.82,594.82,74.82,1,1,Overstock,,,,
ST CHANGE OVERSTOCK to UNDERSTOCK,2024-09-15 01:55:29,['MAT-56'],['Plant4'],,,['CUSTOMER--348772'],,80.0,0.0,['MAT-56_Plant4'],e749_STARTSC,80.0,80.0,8.0,7.0,40.0,34.82,594.82,74.82,2,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
Goods Issue (Understock),2024-09-15 01:55:30,['MAT-56'],['Plant4'],,,['CUSTOMER--348772'],,80.0,0.0,['MAT-56_Plant4'],e749,80.0,80.0,8.0,7.0,40.0,34.82,594.82,74.82,2,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
END UNDERSTOCK,2024-09-15 01:55:31,['MAT-56'],['Plant4'],,,['CUSTOMER--348772'],,80.0,0.0,['MAT-56_Plant4'],e749_END,80.0,80.0,8.0,7.0,40.0,34.82,594.82,74.82,2,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
START OVERSTOCK,2024-05-11 01:54:29,['MAT-56'],['Plant5'],,,,,81.0,81.0,['MAT-56_Plant5'],e743_STARTSC,81.0,81.0,8.1,7.0,40.25,35.25,602.25,75.5,0,2,Overstock,START OVERSTOCK,,,
Create Purchase Suggestion Item (Overstock),2024-05-11 01:54:30,['MAT-56'],['Plant5'],,,,,81.0,81.0,['MAT-56_Plant5'],e743,81.0,81.0,8.1,7.0,40.25,35.25,602.25,75.5,0,2,Overstock,START OVERSTOCK,,,
Create Sales Order Item (Overstock),2024-07-13 01:54:50,['MAT-56'],['Plant5'],,['SO_ITEM--17-2'],['CUSTOMER--35'],,81.0,81.0,['MAT-56_Plant5'],e745,81.0,81.0,8.1,7.0,40.25,35.25,602.25,75.5,1,1,Overstock,,,,
ST CHANGE OVERSTOCK to UNDERSTOCK,2024-08-18 01:55:09,['MAT-56'],['Plant5'],,,['CUSTOMER--360843'],,81.0,0.0,['MAT-56_Plant5'],e747_STARTSC,81.0,81.0,8.1,7.0,40.25,35.25,602.25,75.5,2,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
Goods Issue (Understock),2024-08-18 01:55:10,['MAT-56'],['Plant5'],,,['CUSTOMER--360843'],,81.0,0.0,['MAT-56_Plant5'],e747,81.0,81.0,8.1,7.0,40.25,35.25,602.25,75.5,2,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
END UNDERSTOCK,2024-08-18 01:55:11,['MAT-56'],['Plant5'],,,['CUSTOMER--360843'],,81.0,0.0,['MAT-56_Plant5'],e747_END,81.0,81.0,8.1,7.0,40.25,35.25,602.25,75.5,2,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
START UNDERSTOCK,2024-03-04 01:55:59,['MAT-57'],['Plant1'],,['SO_ITEM--121-2'],['CUSTOMER--2'],,0.0,0.0,['MAT-57_Plant1'],e753_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-03-04 01:56:00,['MAT-57'],['Plant1'],,['SO_ITEM--121-2'],['CUSTOMER--2'],,0.0,0.0,['MAT-57_Plant1'],e753,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-05-13 01:56:20,['MAT-57'],['Plant1'],,['SO_ITEM--74-4'],['CUSTOMER--32'],,0.0,0.0,['MAT-57_Plant1'],e755,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2024-05-13 01:56:21,['MAT-57'],['Plant1'],,['SO_ITEM--74-4'],['CUSTOMER--32'],,0.0,0.0,['MAT-57_Plant1'],e755_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2024-03-10 01:56:09,['MAT-57'],['Plant2'],,['SO_ITEM--200-3'],['CUSTOMER--15'],,0.0,0.0,['MAT-57_Plant2'],e754_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-03-10 01:56:10,['MAT-57'],['Plant2'],,['SO_ITEM--200-3'],['CUSTOMER--15'],,0.0,0.0,['MAT-57_Plant2'],e754,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Understock,START UNDERSTOCK,,,
Create Purchase Suggestion Item (Understock),2024-08-04 01:56:50,['MAT-57'],['Plant2'],,,,,0.0,0.0,['MAT-57_Plant2'],e758,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,1,Understock,,,,
Create Sales Order Item (Understock),2024-09-06 01:57:10,['MAT-57'],['Plant2'],,['SO_ITEM--93-4'],['CUSTOMER--12'],,0.0,0.0,['MAT-57_Plant2'],e760,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2024-09-06 01:57:11,['MAT-57'],['Plant2'],,['SO_ITEM--93-4'],['CUSTOMER--12'],,0.0,0.0,['MAT-57_Plant2'],e760_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2024-02-28 01:55:39,['MAT-57'],['Plant4'],,['SO_ITEM--71-2'],['CUSTOMER--45'],,0.0,0.0,['MAT-57_Plant4'],e751_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
Create Sales Order Item (Understock),2024-02-28 01:55:40,['MAT-57'],['Plant4'],,['SO_ITEM--71-2'],['CUSTOMER--45'],,0.0,0.0,['MAT-57_Plant4'],e751,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
END UNDERSTOCK,2024-02-28 01:55:41,['MAT-57'],['Plant4'],,['SO_ITEM--71-2'],['CUSTOMER--45'],,0.0,0.0,['MAT-57_Plant4'],e751_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
START UNDERSTOCK,2024-02-28 01:55:49,['MAT-57'],['Plant5'],,['SO_ITEM--71-3'],['CUSTOMER--45'],,0.0,0.0,['MAT-57_Plant5'],e752_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,3,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-02-28 01:55:50,['MAT-57'],['Plant5'],,['SO_ITEM--71-3'],['CUSTOMER--45'],,0.0,0.0,['MAT-57_Plant5'],e752,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,3,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2024-06-08 01:56:30,['MAT-57'],['Plant5'],['PO_ITEM--86-5'],,,['SUPPLIER--18'],0.0,0.0,['MAT-57_Plant5'],e756,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,2,Understock,,,,
Create Purchase Order Item (Understock),2024-07-19 01:56:40,['MAT-57'],['Plant5'],['PO_ITEM--127-2'],,,['SUPPLIER--24'],0.0,0.0,['MAT-57_Plant5'],e757,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,1,Understock,,,,
Create Purchase Suggestion Item (Understock),2024-08-11 01:57:00,['MAT-57'],['Plant5'],,,,,0.0,0.0,['MAT-57_Plant5'],e759,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2024-08-11 01:57:01,['MAT-57'],['Plant5'],,,,,0.0,0.0,['MAT-57_Plant5'],e759_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Understock,,END UNDERSTOCK,,
START OVERSTOCK,2024-01-11 01:57:59,['MAT-58'],['Plant1'],,['SO_ITEM--130-2'],['CUSTOMER--23'],,73.0,73.0,['MAT-58_Plant1'],e766_STARTSC,73.0,73.0,7.300000000000001,7.0,38.21,31.77,542.77,69.98,0,1,Overstock,START OVERSTOCK,,,
Create Sales Order Item (Overstock),2024-01-11 01:58:00,['MAT-58'],['Plant1'],,['SO_ITEM--130-2'],['CUSTOMER--23'],,73.0,73.0,['MAT-58_Plant1'],e766,73.0,73.0,7.300000000000001,7.0,38.21,31.77,542.77,69.98,0,1,Overstock,START OVERSTOCK,,,
ST CHANGE OVERSTOCK to UNDERSTOCK,2024-06-25 01:58:59,['MAT-58'],['Plant1'],,,['CUSTOMER--214783'],,73.0,0.0,['MAT-58_Plant1'],e772_STARTSC,73.0,73.0,7.300000000000001,7.0,38.21,31.77,542.77,69.98,1,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
Goods Issue (Understock),2024-06-25 01:59:00,['MAT-58'],['Plant1'],,,['CUSTOMER--214783'],,73.0,0.0,['MAT-58_Plant1'],e772,73.0,73.0,7.300000000000001,7.0,38.21,31.77,542.77,69.98,1,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
END UNDERSTOCK,2024-06-25 01:59:01,['MAT-58'],['Plant1'],,,['CUSTOMER--214783'],,73.0,0.0,['MAT-58_Plant1'],e772_END,73.0,73.0,7.300000000000001,7.0,38.21,31.77,542.77,69.98,1,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
START OVERSTOCK,2023-10-21 01:57:19,['MAT-58'],['Plant2'],['PO_ITEM--149-1'],,,['SUPPLIER--10'],58.0,58.0,['MAT-58_Plant2'],e762_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,4,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2023-10-21 01:57:20,['MAT-58'],['Plant2'],['PO_ITEM--149-1'],,,['SUPPLIER--10'],58.0,58.0,['MAT-58_Plant2'],e762,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,4,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2023-11-05 01:57:30,['MAT-58'],['Plant2'],['PO_ITEM--48-1'],,,['SUPPLIER--1'],58.0,58.0,['MAT-58_Plant2'],e763,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,3,Overstock,,,,
Create Sales Order Item (Overstock),2023-12-16 01:57:40,['MAT-58'],['Plant2'],,['SO_ITEM--28-1'],['CUSTOMER--44'],,58.0,58.0,['MAT-58_Plant2'],e764,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,2,Overstock,,,,
ST CHANGE Overstock to Understock,2024-02-12 01:58:09,['MAT-58'],['Plant2'],,['SO_ITEM--102-3'],['CUSTOMER--33'],,0.0,0.0,['MAT-58_Plant2'],e767_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,1,Understock,,,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
Create Sales Order Item (Understock),2024-02-12 01:58:10,['MAT-58'],['Plant2'],,['SO_ITEM--102-3'],['CUSTOMER--33'],,0.0,0.0,['MAT-58_Plant2'],e767,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,1,Understock,,,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
